mode,scenario,hazard_map,draw,shapeGroup,dam_cost_ppp2024,dam_area_m2
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,CAN,20855607.23255431,2895.211080482959
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,USA,2877961944.636635,725879.5108506514
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,RUS,114830961212.97832,80881746.27829269
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,CAN,684068173.6261628,92377.29920791659
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,USA,3089420871.2596416,779213.6775890841
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,RUS,36740439147.532936,26437614.860744145
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,CAN,951226195.0790005,128427.84275599507
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,USA,3373256183.427448,850802.6150114386
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,19,RUS,38838528180.84547,28045052.96313178
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,19,CAN,114799267.49877445,15562.216402888134
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,19,USA,2877961944.636635,725879.5108506514
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,RUS,103889951400.88692,74014628.70348048
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,CAN,18845512.042309456,2624.177501407819
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,USA,6052548028.42641,1526573.556840021
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,RUS,99909458931.37576,71524261.90962109
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,CAN,917519209.644401,123882.92122864175
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,USA,6295915206.668061,1587955.6222381934
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,22,RUS,35694241746.46246,25728692.600416917
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,22,CAN,166600131.1680348,22546.847552496958
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,22,USA,3373256183.427448,850802.6150114386
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,RUS,99836433707.30522,71483043.86252093
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,CAN,25280866.534555044,3491.8961891174
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,USA,6606624905.749868,1666322.8170533914
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,RUS,37848622386.75919,27373825.181226738
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,CAN,20855607.23255431,2895.211080482959
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,USA,6608188233.141715,1666717.1194605546
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,25,RUS,115503029810.124,81334724.92717618
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,25,CAN,951477552.3069911,128461.73480720703
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,25,USA,5913342101.710729,1491463.0404622098
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,26,RUS,36458777603.25355,26248260.41205919
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,26,CAN,954374251.0110642,128852.3146270471
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,26,USA,5942745994.580329,1498879.2898024996
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,27,RUS,118360947299.53154,83310507.52210179
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,27,CAN,18845512.042309456,2624.177501407819
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,27,USA,2985230260.1811657,752934.7235029064
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,28,RUS,39916314790.86059,28700157.190101966
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,28,CAN,951477552.3069911,128461.73480720703
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,28,USA,3373256183.427448,850802.6150114386
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,29,RUS,120613772931.96597,84809199.83001922
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,29,CAN,690311654.0166361,93247.11985288427
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,29,USA,5913342101.710729,1491463.0404622098
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,30,RUS,39877866180.502205,28666464.392119292
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,30,CAN,684068173.6261628,92377.29920791659
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,30,USA,5913342101.710729,1491463.0404622098
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,31,RUS,36136157733.41312,26020135.76886316
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,31,CAN,684068173.6261628,92377.29920791659
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,31,USA,6052548028.42641,1526573.556840021
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,32,RUS,119510310691.3898,84068142.6754888
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,32,CAN,166600131.1680348,22546.847552496958
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,32,USA,6609140528.9569235,1666957.3074942487
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,33,RUS,99469726032.71033,71251097.97506505
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,33,CAN,690311654.0166361,93247.11985288427
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,33,USA,6257031555.715371,1578148.3884816037
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,34,RUS,36956377200.453606,26633665.363968287
B2_OSM_HABITAT_2D_COMBINEDCOST,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,34,CAN,20855607.23255431,2895.211080482959
