mode,scenario,hazard_map,draw,shapeGroup,dam_cost_ppp2024,dam_area_m2
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,254,CAN,12134006703.473436,1751600.31584424
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,254,USA,41820673779.96031,10150343.066505408
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,255,RUS,179213458109.3329,119969116.38621399
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,255,CAN,11693398874.850826,1686304.8403544228
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,255,USA,41710703816.33816,10123563.772872321
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,256,RUS,163472361135.5902,111236008.70348267
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,256,CAN,7939702415.6697645,1133991.9367653253
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,256,USA,42630067345.31194,10347033.641057007
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,257,RUS,139673039789.43546,96708806.60294923
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,257,CAN,12587960501.059982,1820342.085340177
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,257,USA,41177943085.95527,9989197.122247867
B4_ADD_FLOORAREA,SSP585,bc_diff_ssp585_CESM2-WACCM_2055_2064-2015_2024.nc,258,RUS,144355707775.44897,99789830.38269275
