mode,scenario,hazard_map,draw,shapeGroup,dam_cost_usd2024,dam_cost_res_usd2024,dam_cost_nonres_usd2024,dam_area_m2,dam_area_res_m2,dam_area_nonres_m2
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,14,USA,7380404288.474295,6016027107.931264,1364377180.543037,1963554.8726305144,1704458.6460069204,259096.22662359683
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,15,RUS,103590463408.94583,63079613663.972755,40510849744.972336,72164527.62858205,47273738.8935302,24890788.735051487
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,15,CAN,380248883.7681201,342508490.42843986,37740393.33968039,47175.74399162083,41319.37585494612,5856.368136674714
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,15,USA,9035371535.97482,7389078415.766405,1646293120.2084208,2406103.321082206,2093471.0508821069,312632.27020010544
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,RUS,90964424407.46324,55170344283.03821,35794080124.42443,64108881.91515273,41911598.95042773,22197282.96472629
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,CAN,1932010900.3665526,1599871844.9163675,332139055.450185,244216.45358037844,192667.0111897903,51549.44239058773
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,16,USA,8241784408.883441,6930320119.14867,1311464289.7347682,2212543.844431913,1963495.8145560182,249048.02987589638
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,RUS,201970012061.67438,137074293533.80359,64895718527.8703,136934625.6110086,99334055.9510891,37600569.659922324
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,CAN,1046336094.779619,806589252.0619906,239746842.71762794,134413.05633120122,97210.32349471896,37202.732836482195
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,17,USA,4775756420.948336,3811407471.4716425,964348949.4766867,1262977.172370937,1079846.6000328714,183130.57233806286
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,RUS,226163293317.341,154187658969.7658,71975634347.57683,155588140.47663558,113307589.89734386,42280550.5792907
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,CAN,1073250258.54163,797449768.570073,275800489.9715582,138922.30733677596,96124.94730368668,42797.36003308933
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,18,USA,4422910886.610638,3443739395.055463,979171491.5551615,1161624.396219951,975679.0122768101,185945.38394314548
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,19,RUS,74958378574.89923,42894131957.97657,32064246616.922718,51896589.00480646,32114831.54055502,19781757.464250356
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,19,CAN,1182608054.007494,882163381.860984,300444672.14651054,152928.9809051012,106291.7983034401,46637.18260166091
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,19,USA,12366904386.100351,8851894581.694902,3515009804.4055185,3175418.5414394042,2507915.603209425,667502.9382299792
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,RUS,88434171856.08331,50189068166.55238,38245103689.530785,60795784.967912816,37248063.677358255,23547721.290554326
ALL,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,CAN,1375265498.767881,1021274161.3807915,353991337.38708866,178057.07484409944,123100.3488791994,54956.72596490006
