mode,scenario,hazard_map,draw,shapeGroup,dam_cost_usd2024,dam_area_m2
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,CAN,795486372.6656662,104488.06529208174
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,20,USA,7802340403.765944,1954764.2761520261
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,RUS,61278351603.57794,41685216.9871161
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,CAN,800927151.335235,105183.33704804502
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,21,USA,7849103467.835632,1951242.4699564492
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,22,RUS,61744942895.643906,41902361.21915564
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,22,CAN,786875673.393371,104282.62057814193
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,22,USA,7867338949.123112,1961637.4927124814
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,RUS,61478713818.446724,42397646.967897154
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,CAN,810493762.1105114,105852.13271881538
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,23,USA,7792229675.667788,1977207.8874233281
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,RUS,61332258090.65722,41711277.26453798
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,CAN,793497282.3371418,104734.39621683506
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,24,USA,7884584182.026599,1962405.994487572
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,25,RUS,62820902250.20568,43063378.25824035
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,25,CAN,817515869.7721454,106156.62066230485
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,25,USA,7860707469.954789,2005796.4151032353
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,26,RUS,61704436784.03278,42581580.393643655
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,26,CAN,812342430.2114686,105394.2259121874
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,26,USA,7802702217.218398,1977119.6208674842
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,27,RUS,62837736487.12794,43579072.180931054
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,27,CAN,830394387.017776,106775.00989189319
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,27,USA,7747198199.833912,2022930.42875151
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,28,RUS,62468784211.76774,43276284.51926085
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,28,CAN,832727353.6162361,106609.0564446474
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,28,USA,7786759933.245561,2013167.289391751
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,29,RUS,61668634962.35736,42315687.04771961
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,29,CAN,815275776.9923131,105085.14659401798
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,29,USA,7828368168.27994,1976277.046398647
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,30,RUS,63326390226.454834,43462857.755037464
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,30,CAN,825257537.2382782,106718.45366864999
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,30,USA,7874803996.723278,2020183.2336552823
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,31,RUS,61371363883.23613,42287876.907978825
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,31,CAN,812487983.9512005,105409.40635209196
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,31,USA,7765060873.602282,1969815.5508783036
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,32,RUS,61698807417.353775,42592154.97142349
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,32,CAN,809382883.0175538,104898.5533647289
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,32,USA,7741659844.583189,1965547.7142040331
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,33,RUS,63132756972.95152,43386542.24934709
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,33,CAN,821371290.0673687,106676.2805977806
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,33,USA,7880642476.963393,2018838.0071073964
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,34,RUS,61632929837.10624,42088892.27884012
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,34,CAN,800548081.3837138,105017.62164204287
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,34,USA,7826765258.337365,1955941.9097955727
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,35,RUS,61544042316.71077,42172786.32570097
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,35,CAN,816930844.5775728,105624.48091200544
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,35,USA,7801947155.374527,1964609.6703035897
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,36,RUS,62643965307.18164,43208544.370570496
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,36,CAN,817489178.0926217,106257.96144153299
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,36,USA,7819026557.591896,2012449.0833782058
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,37,RUS,63243936113.11995,43586734.7334123
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,37,CAN,827009937.8895679,106775.00989189319
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,37,USA,7833703125.863132,2023199.783856168
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,38,RUS,63130273721.05671,43469389.4858468
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,38,CAN,827205756.3596387,106775.00989189319
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,38,USA,7851739247.026569,2016992.519013345
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,39,RUS,61256683198.50086,42098156.993109226
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,39,CAN,811094109.8962175,105628.72504396673
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,39,USA,7804081051.392172,1969478.4337381362
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,40,RUS,62617978935.500374,42906594.28188733
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,40,CAN,818634790.4284045,105984.93374951246
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,40,USA,7884241013.58688,2003079.6460142408
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,41,RUS,63146673782.61707,43210393.39450421
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,41,CAN,818072149.8469256,106519.92064664919
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,41,USA,7877890059.665655,2008447.106771678
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,42,RUS,62564292529.161385,43152225.837793745
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,42,CAN,819228036.8901763,106214.59250119678
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,42,USA,7785265016.491972,2007865.8433769855
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,43,RUS,61435989821.29199,41546895.48728884
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,43,CAN,788123830.9389693,104657.08755509795
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,43,USA,7895266155.061644,1953067.620049175
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,44,RUS,60948936486.28567,41750270.0669228
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,44,CAN,801804157.6051217,104615.11286051458
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,44,USA,7788004166.194999,1945446.248890841
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,45,RUS,61458673575.91158,41653215.95181538
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,45,CAN,791922721.446851,104589.5479305637
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,45,USA,7892193040.374949,1956763.3071604285
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,46,RUS,61006404819.18768,41722309.52795156
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,46,CAN,808648880.5151715,105255.33677106856
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,46,USA,7796860224.571914,1953321.0968695786
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,47,RUS,61433506313.68933,42264696.62200942
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,47,CAN,801059606.612977,104704.0557035123
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,47,USA,7793151455.004795,1975674.0188678743
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,48,RUS,62479611030.87436,42573888.290351406
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,48,CAN,808696571.6725798,105849.93871442776
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,48,USA,7890152684.338756,1987254.4357903549
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,49,RUS,62156881576.09206,42711586.10082226
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,49,CAN,820115075.1912421,106366.00958732264
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,49,USA,7782794224.413512,1993734.9362713594
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,50,RUS,61738535606.13252,41898991.484704845
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,50,CAN,796513915.5977403,105036.11234889967
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,50,USA,7878191400.704177,1955035.0313472257
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,51,RUS,62323393208.893105,43142249.442714415
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,51,CAN,815964355.3704762,105808.23371761129
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,51,USA,7803651252.434866,2001570.9817722656
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,52,RUS,62816862278.7683,43125900.81267759
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,52,CAN,826397414.592072,106478.18624013459
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,52,USA,7826219895.542562,2004420.5471433061
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,53,RUS,62411726772.83426,42823346.121842235
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,53,CAN,811255241.0962058,105540.02724602574
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,53,USA,7831777913.905404,1993624.2384934176
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,54,RUS,61552141781.60899,42170698.79032786
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,54,CAN,799275456.6263444,104391.73866363081
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,54,USA,7803749465.564275,1966932.2968038504
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,55,RUS,61127000966.61404,41856253.74783171
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,55,CAN,798656987.9901537,104460.69087027595
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,55,USA,7790258160.788272,1953442.8020613426
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,56,RUS,63268142434.287,43275599.38697069
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,56,CAN,813725886.1989242,106015.25204180618
TYPE_ONLY,SSP245,bc-diff_ssp245_AWI-CM-1-1-MR_2055-2064-2015-2024_nomask.nc,56,USA,7894775167.690068,2009650.1617934196
